iter	Passed	Remaining
407	5253	7622
408	5263	7605
409	5275	7592
410	5290	7582
411	5306	7572
412	5322	7564
413	5337	7555
414	5353	7546
415	5367	7535
416	5378	7519
417	5389	7503
418	5399	7487
419	5411	7473
420	5421	7456
421	5432	7441
422	5444	7426
423	5455	7411
424	5467	7397
425	5478	7381
426	5489	7366
427	5501	7352
428	5512	7337
429	5523	7321
430	5534	7307
431	5546	7292
432	5556	7276
433	5566	7259
434	5576	7243
435	5589	7230
436	5601	7216
437	5614	7204
438	5626	7189
439	5638	7175
440	5649	7161
441	5660	7146
442	5671	7131
443	5682	7116
444	5693	7101
445	5706	7088
446	5719	7075
447	5731	7061
448	5744	7049
449	5755	7034
450	5766	7019
451	5778	7005
452	5788	6989
453	5800	6975
454	5809	6958
455	5820	6943
456	5832	6929
457	5843	6915
458	5854	6900
459	5866	6887
460	5878	6873
461	5889	6858
462	5900	6843
463	5910	6827
464	5921	6812
465	5931	6797
466	5943	6783
467	5955	6769
468	5965	6753
469	5976	6739
470	5986	6723
471	5997	6708
472	6006	6692
473	6019	6679
474	6031	6666
475	6045	6654
476	6057	6641
477	6068	6626
478	6079	6612
479	6089	6596
480	6099	6581
481	6110	6566
482	6120	6551
483	6132	6538
484	6144	6524
485	6155	6510
486	6166	6495
487	6176	6480
488	6188	6466
489	6197	6450
490	6208	6436
491	6218	6420
492	6229	6406
493	6241	6393
494	6257	6383
495	6268	6369
496	6279	6354
497	6290	6341
498	6301	6326
499	6312	6312
500	6325	6299
501	6337	6287
502	6353	6277
503	6365	6264
504	6375	6249
505	6386	6234
506	6396	6219
507	6407	6205
508	6417	6190
509	6427	6175
510	6438	6160
511	6449	6146
512	6460	6132
513	6470	6118
514	6481	6104
515	6491	6088
516	6502	6075
517	6513	6060
518	6528	6050
519	6540	6037
520	6554	6025
521	6565	6012
522	6579	6000
523	6590	5986
524	6601	5972
525	6612	5958
526	6623	5945
527	6634	5931
528	6646	5917
529	6657	5904
530	6668	5889
531	6679	5876
532	6691	5862
533	6702	5848
534	6713	5835
535	6723	5820
536	6734	5806
537	6744	5791
538	6754	5777
539	6765	5763
540	6776	5749
541	6786	5734
542	6796	5720
543	6806	5705
544	6818	5692
545	6828	5678
546	6838	5663
547	6849	5649
548	6860	5636
549	6873	5623
550	6886	5611
551	6897	5598
552	6909	5585
553	6922	5572
554	6934	5559
555	6946	5547
556	6958	5534
557	6969	5520
558	6980	5506
559	6990	5492
560	7000	5478
561	7011	5464
562	7022	5450
563	7032	5436
564	7042	5422
565	7053	5408
566	7064	5394
567	7075	5381
568	7087	5368
569	7097	5354
570	7108	5340
571	7119	5326
572	7129	5312
573	7140	5299
574	7150	5285
575	7161	5272
576	7172	5258
577	7183	5244
578	7194	5231
579	7204	5217
580	7215	5203
581	7225	5189
582	7237	5176
583	7247	5162
584	7258	5149
585	7269	5136
586	7280	5122
587	7292	5109
588	7302	5095
589	7312	5081
